City_Id,City_Name,Province_id,Province_Name,
1,Toronto,ON,Ontario,
2,Montreal,QC,Quebec,
3,Vancouver,BC,British Columbia,
4,Calgary,AB,Alberta,
5,Edmonton,AB,Alberta,
6,Ottawa,ON,Ontario,
7,Winnipeg,MB,Manitoba,
8,Quebec City,QC,Quebec,
9,Hamilton,ON,Ontario,
10,Mississauga,ON,Ontario,
11,Brampton,ON,Ontario,
12,Surrey,BC,British Columbia,
13,Kitchener,ON,Ontario,
14,Halifax,NS,Nova Scotia,
15,Laval,QC,Quebec,
16,London,ON,Ontario,
17,Victoria,BC,British Columbia,
18,Markham,ON,Ontario,
19,Oshawa,ON,Ontario,
20,Vaughan,ON,Ontario,
21,Windsor,ON,Ontario,
22,Gatineau,QC,Quebec,
23,Saskatoon,SK,Saskatchewan,
24,Longueuil,QC,Quebec,
25,Burnaby,BC,British Columbia,
26,St. Catharines,ON,Ontario,
27,Regina,SK,Saskatchewan,
28,Oakville,ON,Ontario,
29,Richmond,BC,British Columbia,
30,Richmond Hill,ON,Ontario,
31,Burlington,ON,Ontario,
32,St. John's,NL,Newfoundland and Labrador,
33,Kelowna,BC,British Columbia,
34,Sherbrooke,QC,Quebec,
35,Sudbury,ON,Ontario,
36,Barrie,ON,Ontario,
37,Abbotsford,BC,British Columbia,
38,Levis,QC,Quebec,
39,Coquitlam,BC,British Columbia,
40,Saguenay,QC,Quebec,
41,Guelph,ON,Ontario,
42,Trois-Rivieres,QC,Quebec,
43,Whitby,ON,Ontario,
44,Cambridge,ON,Ontario,
45,Milton,ON,Ontario,
46,Ajax,ON,Ontario,
47,Waterloo,ON,Ontario,
48,Terrebonne,QC,Quebec,
49,Moncton,NB,New Brunswick,
50,Saanich,BC,British Columbia,
51,White Rock,BC,British Columbia,
52,Thunder Bay,ON,Ontario,
53,Delta,BC,British Columbia,
54,Nanaimo,BC,British Columbia,
55,Brantford,ON,Ontario,
56,Chatham,ON,Ontario,
57,Clarington,ON,Ontario,
58,Saint-Jerome,QC,Quebec,
59,Red Deer,AB,Alberta,
60,Pickering,ON,Ontario,
61,Lethbridge,AB,Alberta,
62,Kamloops,BC,British Columbia,
63,Saint-Jean-sur-Richelieu,QC,Quebec,
64,Niagara Falls,ON,Ontario,
65,Cape Breton,NS,Nova Scotia,
66,Chilliwack,BC,British Columbia,
67,Brossard,QC,Quebec,
68,Maple Ridge,BC,British Columbia,
69,Newmarket,ON,Ontario,
70,Repentigny,QC,Quebec,
71,Peterborough,ON,Ontario,
72,Drummondville,QC,Quebec,
73,Kawartha Lakes,ON,Ontario,
74,New Westminster,BC,British Columbia,
75,Prince George,BC,British Columbia,
76,Caledon,ON,Ontario,
77,Chateauguay,QC,Quebec,
78,Belleville,ON,Ontario,
79,Airdrie,AB,Alberta,
80,Sarnia,ON,Ontario,
81,Wood Buffalo,AB,Alberta,
82,Sault Ste. Marie,ON,Ontario,
83,Saint John,NB,New Brunswick,
84,Welland,ON,Ontario,
85,Granby,QC,Quebec,
86,St. Albert,AB,Alberta,
87,Fredericton,NB,New Brunswick,
88,Grande Prairie,AB,Alberta,
89,Medicine Hat,AB,Alberta,
90,Halton Hills,ON,Ontario,
91,Aurora,ON,Ontario,
92,Port Coquitlam,BC,British Columbia,
